Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
487 0.00151515 0.721212 0.0517272 0.492169
488 0.00151515 0.722727 0.0519153 0.492137
489 0.00151515 0.724242 0.0521065 0.492104
490 0.00151515 0.725758 0.052298 0.492072
491 0.00151515 0.727273 0.05249 0.492039
492 0.00151515 0.728788 0.0526825 0.492006
493 0.00151515 0.730303 0.0528754 0.491974
494 0.00151515 0.731818 0.0530687 0.491941
495 0.00151515 0.733333 0.0532625 0.491908
496 0.00151515 0.734848 0.0534567 0.491875
497 0.00151515 0.736364 0.0536513 0.491842
498 0.00151515 0.737879 0.0538463 0.491809
499 0.00151515 0.739394 0.0540418 0.491776
500 0.00151515 0.740909 0.0542376 0.491743
501 0.00151515 0.742424 0.0544339 0.491709
502 0.00151515 0.743939 0.0546307 0.491676
503 0.00151515 0.745455 0.0548278 0.491643
504 0.00151515 0.74697 0.0550254 0.491609
505 0.00151515 0.748485 0.0552234 0.491576
506 0.00151515 0.75 0.0554218 0.491542
507 0.00151515 0.751515 0.0556207 0.491509
508 0.00151515 0.75303 0.05582 0.491475
509 0.00151515 0.754545 0.0560198 0.491441
510 0.00151515 0.756061 0.05622 0.491407
511 0.00151515 0.757576 0.0564207 0.491374
512 0.00151515 0.759091 0.0566218 0.49134
513 0.00151515 0.760606 0.0568233 0.491306
514 0.00151515 0.762121 0.0570253 0.491272
515 0.00151515 0.763636 0.0572277 0.491238
516 0.00151515 0.765152 0.0574306 0.491203
517 0.00151515 0.766667 0.0576339 0.491169
518 0.00151515 0.768182 0.0578376 0.491135
519 0.00151515 0.769697 0.0580418 0.4911
520 0.00151515 0.771212 0.0582464 0.491066
521 0.00151515 0.772727 0.0584514 0.491031
522 0.00151515 0.774242 0.0586569 0.490997
523 0.00151515 0.775758 0.0588629 0.490962
524 0.00151515 0.777273 0.0590693 0.490928
525 0.00151515 0.778788 0.0592762 0.490893
526 0.00151515 0.780303 0.0594836 0.490857
527 0.00151515 0.781818 0.0596913 0.490821
528 0.00151515 0.783333 0.0598996 0.490784
529 0.00151515 0.784848 0.0601086 0.490747
530 0.00151515 0.786364 0.0603178 0.49071
531 0.00151515 0.787879 0.0605274 0.490674
532 0.00151515 0.789394 0.0607374 0.490637
533 0.00151515 0.790909 0.060948 0.4906
534 0.00151515 0.792424 0.061159 0.490562
535 0.00151515 0.793939 0.0613704 0.490525
536 0.00151515 0.795455 0.0615823 0.490488
537 0.00151515 0.79697 0.0617947 0.490451
538 0.00151515 0.798485 0.0620075 0.490413
539 0.00151515 0.8 0.0622208 0.490376
540 0.00151515 0.801515 0.0624346 0.490339
541 0.00151515 0.80303 0.0626488 0.490301
542 0.00151515 0.804545 0.0628635 0.490263
